,Winner,NTurns
0,C,96
1,C,144
2,D,601
3,C,126
4,D,601
5,C,132
6,C,138
7,C,258
8,D,601
9,C,174
10,C,114
11,D,601
12,D,601
13,C,246
14,C,126
15,D,601
16,C,198
17,D,601
18,C,444
19,C,204
20,C,96
21,C,90
22,C,60
23,D,601
24,D,601
25,D,601
26,C,114
27,D,601
28,D,601
29,C,198
30,C,102
31,D,601
32,D,601
33,D,601
34,C,102
35,C,180
36,C,198
37,D,601
38,C,126
39,D,601
40,C,120
41,C,162
42,D,601
43,C,246
44,C,210
45,D,601
46,C,114
47,C,342
48,D,601
49,D,601
50,C,138
51,D,601
52,D,601
53,D,601
54,D,601
55,C,138
56,C,162
57,C,192
58,D,601
59,C,174
60,D,601
61,D,601
62,D,601
63,C,108
64,D,601
65,D,601
66,D,601
67,C,126
68,C,228
69,C,192
70,D,601
71,C,186
72,D,601
73,D,601
74,D,601
75,C,102
76,D,601
77,C,90
78,D,601
79,D,601
