,Winner,NTurns
0,C,132
1,C,102
2,C,126
3,D,601
4,C,78
5,C,84
6,C,150
7,C,126
8,C,126
9,C,126
10,C,168
11,C,162
12,C,132
13,C,132
14,C,120
15,C,132
16,C,96
17,C,126
18,C,102
19,C,162
20,C,174
21,C,144
22,C,198
23,C,132
24,C,96
25,C,228
26,C,96
27,C,120
28,C,162
29,C,102
30,C,96
31,C,90
32,C,102
33,C,282
34,D,601
35,C,114
36,C,90
37,D,601
38,C,132
39,C,126
40,D,601
41,C,90
42,C,222
43,C,90
44,C,108
45,C,66
46,C,108
47,D,601
48,C,114
49,C,150
50,D,601
51,D,601
52,C,78
53,D,601
54,C,84
55,D,601
56,C,84
57,C,138
58,C,72
59,C,102
60,C,84
61,D,601
62,D,601
63,C,132
64,C,156
65,C,138
66,C,102
67,C,126
68,D,601
69,C,120
70,C,168
71,D,601
72,D,601
73,D,601
74,C,150
75,C,102
76,C,114
77,C,96
78,C,198
79,C,108
