,Winner,NTurns
0,B,93
1,B,123
2,B,153
3,B,159
4,B,153
5,B,93
6,B,105
7,B,75
8,B,117
9,B,111
10,B,183
11,B,189
12,B,123
13,B,135
14,B,87
15,B,75
16,B,135
17,B,99
18,B,87
19,B,105
20,B,147
21,C,102
22,B,177
23,B,159
24,B,129
25,B,123
26,B,105
27,B,93
28,C,90
29,B,153
30,C,150
31,B,111
32,B,99
33,B,177
34,B,111
35,B,129
36,B,153
37,B,93
38,B,135
39,B,237
40,B,177
41,B,93
42,B,135
43,B,249
44,B,111
45,B,105
46,B,99
47,B,165
48,B,171
49,C,96
50,B,111
51,B,147
52,B,111
53,B,237
54,B,261
55,B,75
56,B,105
57,B,165
58,B,213
59,B,105
60,B,147
61,B,129
62,B,321
63,B,207
64,B,237
65,B,267
66,B,135
67,B,195
68,B,105
69,B,177
70,B,231
71,B,273
72,B,135
73,B,189
74,B,135
75,B,135
76,B,321
77,C,216
78,C,96
79,B,189
