,Winner,NTurns
0,C,282
1,C,282
2,C,384
3,C,210
4,C,186
5,C,126
6,C,234
7,C,96
8,C,138
9,D,601
10,C,180
11,C,558
12,C,186
13,C,378
14,C,342
15,C,156
16,C,234
17,D,601
18,C,342
19,D,601
20,C,480
21,D,601
22,C,246
23,D,601
24,C,120
25,D,601
26,C,150
27,D,601
28,D,601
29,B,111
30,C,480
31,B,387
32,C,522
33,C,450
34,D,601
35,C,378
36,D,601
37,C,156
38,C,408
39,C,156
40,C,324
41,C,234
42,C,456
43,D,601
44,D,601
45,C,120
46,C,270
47,D,601
48,D,601
49,C,252
50,C,276
51,C,498
52,D,601
53,C,294
54,D,601
55,C,354
56,D,601
57,C,246
58,C,276
59,D,601
60,D,601
61,C,402
62,C,156
63,D,601
64,C,234
65,C,558
66,C,162
67,D,601
68,D,601
69,D,601
70,C,390
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,C,282
78,C,216
79,D,601
