,Winner,NTurns
0,D,601
1,B,123
2,B,207
3,B,147
4,B,315
5,D,601
6,B,87
7,B,159
8,C,198
9,B,93
10,D,601
11,B,141
12,B,171
13,D,601
14,B,117
15,D,601
16,B,459
17,D,601
18,B,189
19,B,159
20,D,601
21,B,135
22,B,165
23,B,123
24,B,141
25,D,601
26,D,601
27,C,420
28,D,601
29,D,601
30,B,93
31,B,153
32,D,601
33,B,135
34,B,171
35,D,601
36,D,601
37,D,601
38,D,601
39,B,117
40,B,261
41,B,123
42,B,267
43,B,393
44,D,601
45,D,601
46,B,249
47,D,601
48,D,601
49,D,601
50,D,601
51,B,153
52,D,601
53,B,285
54,B,141
55,D,601
56,B,465
57,D,601
58,D,601
59,D,601
60,B,447
61,D,601
62,D,601
63,B,123
64,D,601
65,D,601
66,D,601
67,B,489
68,B,153
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,B,147
75,D,601
76,D,601
77,D,601
78,B,549
79,B,195
