,Winner,NTurns
0,D,601
1,B,243
2,B,135
3,B,105
4,D,601
5,B,117
6,B,117
7,B,99
8,B,153
9,B,93
10,B,111
11,B,207
12,B,147
13,D,601
14,B,129
15,B,135
16,B,135
17,B,171
18,B,135
19,D,601
20,D,601
21,B,141
22,B,159
23,D,601
24,B,111
25,D,601
26,B,105
27,B,105
28,B,99
29,B,159
30,B,183
31,D,601
32,B,171
33,B,111
34,B,147
35,B,129
36,D,601
37,D,601
38,B,81
39,B,129
40,B,123
41,D,601
42,B,147
43,B,117
44,B,129
45,B,135
46,B,177
47,D,601
48,D,601
49,B,81
50,B,153
51,B,189
52,B,201
53,B,111
54,D,601
55,B,141
56,B,135
57,D,601
58,B,117
59,D,601
60,B,105
61,B,93
62,D,601
63,B,111
64,B,123
65,B,177
66,D,601
67,D,601
68,D,601
69,B,135
70,D,601
71,B,111
72,B,117
73,D,601
74,D,601
75,D,601
76,D,601
77,B,183
78,D,601
79,D,601
