,Winner,NTurns
0,C,162
1,C,324
2,C,72
3,C,366
4,D,601
5,C,156
6,C,384
7,B,297
8,C,138
9,C,90
10,C,78
11,D,601
12,C,114
13,C,90
14,C,216
15,D,601
16,D,601
17,C,204
18,C,192
19,C,150
20,C,234
21,C,120
22,C,216
23,C,174
24,C,336
25,D,601
26,D,601
27,C,222
28,B,303
29,C,492
30,C,126
31,C,594
32,C,120
33,C,102
34,D,601
35,D,601
36,C,498
37,B,111
38,C,162
39,C,330
40,C,108
41,D,601
42,C,108
43,D,601
44,D,601
45,C,126
46,B,129
47,C,498
48,C,474
49,C,126
50,C,420
51,B,129
52,C,96
53,C,228
54,C,54
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,C,72
61,C,444
62,C,450
63,C,96
64,D,601
65,D,601
66,C,240
67,D,601
68,D,601
69,B,117
70,C,168
71,D,601
72,D,601
73,D,601
74,C,372
75,D,601
76,C,84
77,C,288
78,C,228
79,D,601
