,Winner,NTurns
0,B,153
1,B,87
2,B,159
3,B,177
4,B,75
5,C,126
6,B,171
7,B,63
8,C,276
9,B,147
10,C,180
11,C,378
12,C,144
13,B,129
14,B,111
15,C,138
16,C,120
17,B,225
18,C,102
19,B,99
20,C,132
21,C,120
22,B,303
23,B,111
24,C,186
25,B,171
26,C,216
27,B,171
28,B,93
29,B,99
30,B,117
31,B,123
32,B,135
33,C,162
34,B,153
35,C,186
36,C,192
37,B,285
38,C,114
39,C,180
40,B,87
41,B,129
42,B,141
43,C,156
44,C,126
45,C,132
46,B,87
47,B,99
48,D,601
49,B,105
50,B,249
51,C,138
52,C,282
53,C,126
54,C,162
55,B,537
56,B,117
57,C,216
58,C,90
59,C,210
60,B,111
61,C,120
62,B,147
63,B,81
64,B,351
65,B,159
66,B,177
67,C,114
68,B,117
69,B,561
70,B,183
71,B,159
72,B,135
73,B,69
74,B,123
75,B,219
76,C,138
77,C,132
78,D,601
79,B,555
