,Winner,NTurns
0,B,177
1,B,93
2,B,153
3,B,189
4,C,384
5,B,117
6,B,99
7,B,57
8,C,114
9,B,99
10,B,69
11,C,108
12,B,141
13,C,150
14,B,243
15,B,63
16,C,288
17,B,81
18,B,153
19,B,219
20,B,93
21,C,192
22,B,189
23,C,114
24,B,411
25,B,129
26,B,93
27,C,108
28,B,57
29,C,222
30,B,147
31,B,111
32,C,420
33,B,75
34,C,270
35,C,84
36,B,105
37,D,601
38,B,153
39,C,144
40,B,69
41,B,87
42,B,99
43,B,135
44,C,474
45,C,144
46,B,123
47,D,601
48,D,601
49,C,138
50,C,516
51,B,285
52,C,48
53,B,81
54,B,165
55,B,75
56,B,75
57,C,102
58,C,366
59,D,601
60,B,99
61,C,540
62,B,75
63,B,285
64,B,99
65,C,84
66,B,105
67,B,111
68,B,93
69,D,601
70,B,261
71,B,105
72,C,216
73,B,81
74,C,354
75,C,204
76,D,601
77,C,120
78,B,123
79,C,510
