,Winner,NTurns
0,B,147
1,B,135
2,C,228
3,B,93
4,B,105
5,B,63
6,B,123
7,B,81
8,B,99
9,B,69
10,B,105
11,D,601
12,B,87
13,B,93
14,B,81
15,C,78
16,B,81
17,B,69
18,B,105
19,B,129
20,B,135
21,B,63
22,B,93
23,C,198
24,B,63
25,B,105
26,B,75
27,B,87
28,B,213
29,D,601
30,B,99
31,B,117
32,D,601
33,B,93
34,B,69
35,C,162
36,B,93
37,B,195
38,B,81
39,B,81
40,B,111
41,B,81
42,D,601
43,B,123
44,B,105
45,B,135
46,B,75
47,B,105
48,B,39
49,B,93
50,C,90
51,B,93
52,D,601
53,B,147
54,D,601
55,C,90
56,B,93
57,B,51
58,B,75
59,D,601
60,D,601
61,B,63
62,D,601
63,B,57
64,C,90
65,B,135
66,D,601
67,B,81
68,B,81
69,D,601
70,D,601
71,D,601
72,B,63
73,B,69
74,B,93
75,B,75
76,B,99
77,B,159
78,B,93
79,B,75
