,Winner,NTurns
0,B,75
1,C,114
2,B,153
3,B,87
4,B,213
5,B,129
6,C,372
7,B,81
8,C,252
9,C,240
10,B,93
11,B,171
12,B,177
13,B,123
14,B,147
15,B,51
16,B,105
17,B,159
18,B,231
19,B,87
20,B,81
21,C,354
22,B,111
23,B,171
24,B,153
25,B,81
26,B,57
27,B,183
28,B,81
29,C,444
30,D,601
31,C,180
32,B,99
33,C,210
34,B,45
35,B,75
36,C,186
37,B,321
38,C,42
39,B,141
40,B,87
41,B,237
42,B,57
43,B,249
44,B,87
45,B,87
46,C,420
47,B,99
48,B,339
49,B,45
50,D,601
51,B,87
52,B,75
53,B,333
54,B,87
55,B,63
56,B,75
57,B,99
58,C,156
59,B,123
60,B,99
61,C,72
62,D,601
63,B,105
64,B,129
65,C,174
66,D,601
67,B,123
68,B,165
69,B,81
70,D,601
71,C,90
72,D,601
73,B,117
74,B,111
75,B,87
76,B,87
77,B,141
78,C,192
79,C,270
