,Winner,NTurns
0,C,120
1,B,63
2,B,153
3,B,81
4,C,114
5,B,99
6,B,69
7,B,87
8,C,96
9,C,96
10,B,57
11,C,114
12,C,108
13,B,99
14,B,93
15,B,153
16,B,165
17,B,123
18,B,93
19,B,63
20,B,111
21,B,81
22,B,147
23,C,552
24,C,126
25,B,93
26,B,93
27,C,120
28,C,102
29,B,99
30,B,147
31,C,246
32,C,72
33,B,135
34,C,84
35,B,99
36,B,75
37,B,147
38,C,312
39,B,81
40,B,105
41,B,105
42,B,543
43,B,63
44,B,231
45,C,108
46,C,126
47,B,45
48,C,150
49,B,81
50,D,601
51,B,99
52,B,99
53,B,51
54,B,153
55,C,156
56,B,105
57,B,87
58,C,132
59,C,192
60,B,231
61,C,258
62,C,60
63,C,90
64,C,108
65,C,84
66,C,234
67,C,258
68,B,39
69,B,231
70,B,231
71,C,126
72,C,132
73,B,99
74,B,231
75,D,601
76,B,75
77,B,171
78,D,601
79,B,123
