,Winner,NTurns
0,B,381
1,B,111
2,C,102
3,B,81
4,B,69
5,B,225
6,B,99
7,B,75
8,B,75
9,B,63
10,B,129
11,B,69
12,D,601
13,B,159
14,B,321
15,B,63
16,B,63
17,D,601
18,B,111
19,B,69
20,C,72
21,C,402
22,B,297
23,C,168
24,B,105
25,B,69
26,C,246
27,B,165
28,C,72
29,B,99
30,C,96
31,B,75
32,B,99
33,C,522
34,B,159
35,C,48
36,B,87
37,B,447
38,D,601
39,B,129
40,B,63
41,D,601
42,D,601
43,B,81
44,B,321
45,B,225
46,B,105
47,C,216
48,B,159
49,B,45
50,B,117
51,C,534
52,B,81
53,C,90
54,C,222
55,B,123
56,C,456
57,C,90
58,B,81
59,D,601
60,C,498
61,B,75
62,B,333
63,B,81
64,B,117
65,B,423
66,C,120
67,B,69
68,D,601
69,B,147
70,B,51
71,B,129
72,B,123
73,B,267
74,B,495
75,B,117
76,D,601
77,B,411
78,B,249
79,B,159
