,Winner,NTurns
0,B,339
1,C,66
2,B,81
3,B,99
4,B,63
5,C,174
6,C,222
7,B,117
8,D,601
9,C,48
10,B,75
11,C,72
12,B,87
13,B,93
14,B,339
15,D,601
16,B,57
17,B,489
18,B,219
19,B,261
20,B,99
21,B,75
22,B,417
23,D,601
24,B,57
25,B,99
26,B,75
27,B,93
28,C,564
29,B,141
30,C,144
31,D,601
32,B,315
33,D,601
34,B,237
35,C,162
36,B,117
37,C,66
38,C,156
39,B,87
40,D,601
41,D,601
42,B,57
43,B,99
44,D,601
45,B,51
46,B,99
47,C,462
48,B,141
49,D,601
50,B,543
51,C,162
52,C,144
53,D,601
54,B,63
55,C,216
56,D,601
57,B,75
58,C,426
59,B,471
60,D,601
61,C,318
62,C,168
63,B,321
64,C,72
65,B,351
66,B,291
67,B,111
68,B,111
69,C,558
70,C,48
71,B,87
72,D,601
73,D,601
74,C,210
75,B,399
76,D,601
77,B,219
78,C,204
79,D,601
