,Winner,NTurns
0,B,99
1,B,57
2,B,45
3,B,63
4,C,72
5,C,84
6,B,159
7,C,60
8,B,45
9,B,81
10,B,75
11,B,99
12,B,75
13,B,171
14,D,601
15,B,63
16,B,69
17,D,601
18,C,60
19,D,601
20,B,63
21,B,99
22,B,255
23,B,69
24,C,336
25,B,75
26,C,414
27,B,153
28,B,69
29,B,87
30,D,601
31,B,75
32,B,81
33,B,81
34,B,147
35,B,123
36,B,69
37,B,573
38,B,99
39,B,57
40,D,601
41,B,111
42,B,81
43,B,75
44,C,78
45,C,192
46,B,63
47,B,99
48,D,601
49,B,249
50,B,87
51,B,63
52,B,57
53,B,87
54,C,402
55,C,126
56,B,69
57,B,309
58,B,75
59,D,601
60,C,60
61,B,63
62,B,447
63,C,246
64,C,396
65,D,601
66,B,69
67,B,63
68,B,75
69,D,601
70,B,591
71,B,273
72,D,601
73,B,93
74,B,81
75,B,351
76,B,141
77,B,81
78,D,601
79,B,381
