,Winner,NTurns
0,D,601
1,B,177
2,B,69
3,D,601
4,D,601
5,D,601
6,D,601
7,D,601
8,B,165
9,D,601
10,D,601
11,D,601
12,D,601
13,B,45
14,B,165
15,C,150
16,D,601
17,D,601
18,D,601
19,D,601
20,D,601
21,D,601
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,B,219
28,B,135
29,D,601
30,B,75
31,C,492
32,D,601
33,D,601
34,D,601
35,B,99
36,D,601
37,D,601
38,D,601
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,B,75
45,D,601
46,D,601
47,B,105
48,D,601
49,D,601
50,B,123
51,B,123
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,B,87
64,D,601
65,D,601
66,D,601
67,B,69
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,B,117
