,Winner,NTurns
0,C,78
1,B,519
2,B,81
3,B,141
4,B,75
5,B,183
6,C,66
7,D,601
8,B,81
9,B,99
10,D,601
11,B,117
12,B,75
13,C,120
14,B,141
15,B,117
16,B,63
17,D,601
18,B,111
19,B,231
20,B,105
21,B,195
22,B,141
23,D,601
24,D,601
25,B,459
26,C,66
27,B,105
28,B,75
29,C,72
30,D,601
31,D,601
32,C,54
33,D,601
34,B,81
35,B,573
36,B,69
37,D,601
38,B,63
39,B,81
40,D,601
41,D,601
42,B,231
43,B,303
44,D,601
45,C,138
46,B,69
47,B,99
48,B,69
49,B,87
50,B,63
51,B,63
52,D,601
53,B,111
54,C,54
55,B,87
56,B,141
57,C,492
58,D,601
59,B,513
60,C,96
61,D,601
62,B,117
63,D,601
64,C,60
65,C,330
66,C,66
67,D,601
68,B,75
69,D,601
70,B,87
71,B,105
72,C,360
73,C,234
74,B,171
75,D,601
76,D,601
77,B,69
78,D,601
79,B,183
