,Winner,NTurns
0,C,120
1,C,84
2,D,601
3,D,601
4,B,141
5,B,99
6,B,81
7,C,180
8,C,84
9,C,120
10,B,291
11,C,84
12,D,601
13,C,144
14,B,63
15,C,78
16,B,105
17,B,135
18,D,601
19,C,156
20,B,99
21,D,601
22,D,601
23,B,99
24,B,147
25,B,69
26,B,111
27,B,441
28,C,102
29,B,183
30,B,153
31,B,267
32,C,54
33,C,294
34,D,601
35,C,96
36,D,601
37,C,108
38,D,601
39,B,513
40,C,84
41,B,429
42,B,99
43,D,601
44,D,601
45,C,120
46,D,601
47,B,519
48,C,156
49,C,72
50,B,237
51,B,147
52,D,601
53,C,60
54,B,531
55,D,601
56,B,123
57,B,177
58,D,601
59,B,327
60,B,111
61,C,120
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,C,78
68,B,537
69,C,126
70,D,601
71,C,450
72,B,375
73,D,601
74,B,141
75,D,601
76,D,601
77,D,601
78,B,147
79,D,601
