,Winner,NTurns
0,C,354
1,B,99
2,C,390
3,C,162
4,B,87
5,B,117
6,C,48
7,B,429
8,B,69
9,B,147
10,B,177
11,B,129
12,C,246
13,B,159
14,B,93
15,D,601
16,B,147
17,C,198
18,D,601
19,C,126
20,C,102
21,B,285
22,C,204
23,B,123
24,C,432
25,C,378
26,D,601
27,B,327
28,C,126
29,B,105
30,C,342
31,D,601
32,B,105
33,C,126
34,D,601
35,B,285
36,B,75
37,D,601
38,B,261
39,C,84
40,D,601
41,D,601
42,B,225
43,D,601
44,C,276
45,B,81
46,D,601
47,B,159
48,B,75
49,D,601
50,B,267
51,B,99
52,C,540
53,B,123
54,D,601
55,D,601
56,C,96
57,D,601
58,B,465
59,C,126
60,D,601
61,B,441
62,B,117
63,D,601
64,B,141
65,D,601
66,B,123
67,B,159
68,C,150
69,C,510
70,D,601
71,C,324
72,D,601
73,B,93
74,D,601
75,D,601
76,C,306
77,D,601
78,C,480
79,B,201
