,Winner,NTurns
0,B,99
1,B,123
2,D,601
3,B,153
4,B,93
5,B,225
6,B,69
7,B,63
8,C,90
9,B,111
10,D,601
11,B,297
12,B,285
13,D,601
14,B,135
15,D,601
16,B,213
17,B,159
18,B,117
19,B,51
20,B,75
21,D,601
22,B,75
23,D,601
24,D,601
25,D,601
26,B,123
27,D,601
28,B,99
29,D,601
30,B,183
31,C,330
32,B,93
33,D,601
34,D,601
35,D,601
36,D,601
37,D,601
38,B,57
39,B,105
40,C,294
41,B,87
42,D,601
43,B,117
44,D,601
45,D,601
46,D,601
47,B,225
48,D,601
49,D,601
50,B,87
51,D,601
52,D,601
53,C,552
54,B,57
55,D,601
56,D,601
57,D,601
58,B,123
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,B,177
65,D,601
66,D,601
67,B,225
68,D,601
69,B,81
70,D,601
71,D,601
72,D,601
73,C,438
74,B,117
75,B,69
76,D,601
77,B,177
78,D,601
79,B,57
