,Winner,NTurns
0,C,150
1,D,601
2,C,48
3,B,99
4,C,246
5,B,93
6,D,601
7,D,601
8,D,601
9,C,72
10,C,138
11,B,291
12,B,195
13,D,601
14,C,96
15,D,601
16,D,601
17,B,231
18,D,601
19,B,363
20,B,495
21,B,483
22,B,261
23,D,601
24,D,601
25,B,129
26,C,462
27,C,78
28,D,601
29,B,147
30,D,601
31,D,601
32,D,601
33,D,601
34,C,60
35,D,601
36,B,135
37,B,159
38,D,601
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,B,81
45,C,102
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,B,111
55,C,564
56,D,601
57,D,601
58,D,601
59,B,69
60,C,486
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,B,135
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,C,78
75,D,601
76,D,601
77,D,601
78,D,601
79,B,237
