,Winner,NTurns
0,C,72
1,C,84
2,B,81
3,C,72
4,C,66
5,C,138
6,B,447
7,B,117
8,C,54
9,C,102
10,B,171
11,C,54
12,B,339
13,C,60
14,D,601
15,B,129
16,C,90
17,C,90
18,C,90
19,C,60
20,B,99
21,C,72
22,C,108
23,C,96
24,D,601
25,D,601
26,D,601
27,C,96
28,C,180
29,B,123
30,D,601
31,B,165
32,C,66
33,C,66
34,C,66
35,B,147
36,C,66
37,D,601
38,C,120
39,B,147
40,C,72
41,C,78
42,B,153
43,C,162
44,D,601
45,C,66
46,C,90
47,C,60
48,B,285
49,D,601
50,B,171
51,C,72
52,D,601
53,D,601
54,D,601
55,C,66
56,C,60
57,B,117
58,D,601
59,B,99
60,C,84
61,D,601
62,C,102
63,B,93
64,C,120
65,D,601
66,C,78
67,D,601
68,C,96
69,D,601
70,D,601
71,D,601
72,C,108
73,B,339
74,C,468
75,C,42
76,D,601
77,B,87
78,C,84
79,C,66
