,Winner,NTurns
0,B,183
1,C,564
2,C,60
3,D,601
4,C,54
5,B,63
6,D,601
7,D,601
8,B,81
9,D,601
10,C,48
11,C,252
12,B,129
13,D,601
14,C,144
15,C,60
16,D,601
17,B,207
18,D,601
19,D,601
20,B,165
21,D,601
22,D,601
23,C,330
24,B,387
25,B,75
26,D,601
27,D,601
28,D,601
29,C,132
30,D,601
31,C,342
32,C,258
33,B,111
34,D,601
35,C,72
36,C,78
37,D,601
38,D,601
39,D,601
40,D,601
41,B,297
42,C,246
43,D,601
44,C,48
45,B,195
46,D,601
47,C,90
48,D,601
49,D,601
50,D,601
51,D,601
52,C,60
53,B,447
54,B,75
55,D,601
56,D,601
57,C,264
58,C,96
59,D,601
60,B,75
61,C,150
62,B,423
63,D,601
64,D,601
65,D,601
66,D,601
67,B,111
68,C,474
69,D,601
70,C,198
71,D,601
72,D,601
73,D,601
74,C,492
75,B,267
76,B,105
77,D,601
78,D,601
79,D,601
