,Winner,NTurns
0,B,75
1,C,114
2,C,228
3,C,66
4,C,234
5,C,156
6,B,87
7,D,601
8,B,219
9,C,222
10,B,105
11,B,111
12,C,384
13,D,601
14,C,204
15,D,601
16,B,123
17,C,198
18,B,147
19,B,87
20,D,601
21,B,75
22,D,601
23,B,195
24,B,117
25,C,42
26,B,117
27,D,601
28,C,132
29,B,261
30,B,99
31,B,243
32,C,132
33,C,324
34,D,601
35,C,204
36,D,601
37,D,601
38,D,601
39,B,81
40,B,171
41,C,156
42,B,321
43,D,601
44,D,601
45,B,75
46,C,336
47,D,601
48,D,601
49,D,601
50,B,135
51,D,601
52,D,601
53,B,369
54,C,72
55,B,87
56,C,234
57,B,123
58,D,601
59,B,117
60,D,601
61,B,63
62,D,601
63,D,601
64,B,159
65,D,601
66,B,93
67,D,601
68,B,147
69,C,534
70,C,234
71,D,601
72,C,270
73,D,601
74,D,601
75,B,81
76,C,330
77,B,285
78,D,601
79,D,601
