,Winner,NTurns
0,B,111
1,D,601
2,D,601
3,D,601
4,B,63
5,B,75
6,B,201
7,D,601
8,D,601
9,D,601
10,B,207
11,D,601
12,B,69
13,D,601
14,D,601
15,D,601
16,B,105
17,D,601
18,D,601
19,D,601
20,B,87
21,D,601
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,B,75
28,D,601
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,C,294
35,D,601
36,B,93
37,D,601
38,D,601
39,D,601
40,B,69
41,D,601
42,D,601
43,D,601
44,B,471
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,C,156
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,C,576
64,D,601
65,D,601
66,D,601
67,B,99
68,D,601
69,D,601
70,B,75
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
