,Winner,NTurns
0,D,601
1,D,601
2,C,102
3,D,601
4,C,96
5,C,54
6,B,93
7,B,129
8,C,156
9,B,93
10,C,48
11,D,601
12,C,78
13,B,105
14,C,276
15,B,69
16,D,601
17,D,601
18,B,591
19,C,270
20,D,601
21,C,90
22,C,498
23,B,321
24,B,309
25,D,601
26,C,54
27,D,601
28,C,114
29,D,601
30,D,601
31,C,60
32,C,300
33,C,150
34,C,96
35,D,601
36,C,240
37,C,54
38,D,601
39,D,601
40,C,42
41,B,129
42,C,54
43,D,601
44,D,601
45,C,246
46,D,601
47,B,159
48,D,601
49,D,601
50,C,72
51,D,601
52,D,601
53,D,601
54,D,601
55,D,601
56,C,582
57,D,601
58,C,96
59,C,42
60,D,601
61,B,201
62,B,105
63,D,601
64,D,601
65,D,601
66,B,123
67,D,601
68,B,159
69,D,601
70,C,402
71,B,129
72,D,601
73,C,324
74,D,601
75,D,601
76,D,601
77,D,601
78,B,63
79,D,601
