,Winner,NTurns
0,D,601
1,D,601
2,C,180
3,C,390
4,C,84
5,C,78
6,C,54
7,C,510
8,C,102
9,C,66
10,B,99
11,D,601
12,B,105
13,D,601
14,D,601
15,C,264
16,D,601
17,C,54
18,D,601
19,C,48
20,D,601
21,B,63
22,B,303
23,D,601
24,D,601
25,D,601
26,C,72
27,D,601
28,D,601
29,D,601
30,C,66
31,B,213
32,C,294
33,C,162
34,C,228
35,D,601
36,C,372
37,D,601
38,D,601
39,C,174
40,B,75
41,C,342
42,D,601
43,B,135
44,D,601
45,C,318
46,D,601
47,C,288
48,D,601
49,B,597
50,C,264
51,C,102
52,D,601
53,C,162
54,C,204
55,C,402
56,C,120
57,D,601
58,D,601
59,C,96
60,D,601
61,B,87
62,C,66
63,D,601
64,D,601
65,D,601
66,C,330
67,C,60
68,B,69
69,D,601
70,B,555
71,D,601
72,D,601
73,D,601
74,B,165
75,C,186
76,C,84
77,D,601
78,C,264
79,D,601
