,Winner,NTurns
0,C,78
1,C,144
2,C,228
3,D,601
4,C,138
5,B,135
6,C,132
7,D,601
8,D,601
9,B,141
10,B,105
11,D,601
12,D,601
13,B,63
14,D,601
15,B,105
16,B,87
17,B,195
18,D,601
19,C,354
20,B,63
21,D,601
22,D,601
23,D,601
24,D,601
25,B,93
26,D,601
27,D,601
28,D,601
29,C,438
30,B,99
31,D,601
32,D,601
33,D,601
34,D,601
35,C,66
36,C,90
37,D,601
38,C,336
39,B,69
40,C,462
41,B,291
42,D,601
43,D,601
44,D,601
45,D,601
46,D,601
47,B,75
48,D,601
49,D,601
50,D,601
51,D,601
52,B,195
53,C,516
54,B,243
55,B,69
56,D,601
57,C,240
58,D,601
59,C,54
60,C,126
61,D,601
62,C,474
63,D,601
64,D,601
65,C,84
66,D,601
67,D,601
68,B,111
69,C,318
70,D,601
71,C,72
72,D,601
73,B,105
74,D,601
75,D,601
76,D,601
77,C,474
78,D,601
79,D,601
