,Winner,NTurns
0,D,601
1,C,282
2,D,601
3,B,75
4,D,601
5,C,96
6,B,81
7,B,81
8,B,129
9,C,276
10,D,601
11,B,57
12,B,189
13,B,99
14,D,601
15,C,150
16,D,601
17,B,99
18,C,162
19,C,132
20,C,228
21,D,601
22,C,162
23,D,601
24,C,120
25,C,246
26,B,105
27,B,87
28,C,378
29,B,57
30,B,567
31,B,63
32,C,84
33,C,258
34,D,601
35,B,375
36,B,75
37,B,63
38,D,601
39,C,60
40,C,336
41,B,57
42,C,222
43,B,111
44,D,601
45,D,601
46,C,132
47,D,601
48,D,601
49,C,252
50,D,601
51,C,540
52,B,213
53,C,186
54,D,601
55,D,601
56,B,471
57,B,69
58,B,183
59,D,601
60,D,601
61,D,601
62,D,601
63,C,192
64,B,111
65,B,81
66,D,601
67,D,601
68,B,69
69,D,601
70,B,489
71,C,486
72,C,504
73,D,601
74,D,601
75,C,174
76,C,324
77,D,601
78,C,408
79,D,601
