,Winner,NTurns
0,C,210
1,C,66
2,C,222
3,D,601
4,C,126
5,C,216
6,B,81
7,C,492
8,D,601
9,C,186
10,C,54
11,C,72
12,C,78
13,B,69
14,C,204
15,D,601
16,B,159
17,D,601
18,B,327
19,C,228
20,C,78
21,C,78
22,D,601
23,D,601
24,D,601
25,C,276
26,D,601
27,B,93
28,C,84
29,B,165
30,B,75
31,C,402
32,D,601
33,B,159
34,B,75
35,D,601
36,D,601
37,C,84
38,D,601
39,C,204
40,D,601
41,D,601
42,C,96
43,D,601
44,D,601
45,C,246
46,B,87
47,D,601
48,C,84
49,D,601
50,D,601
51,B,81
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,B,87
58,D,601
59,B,117
60,D,601
61,D,601
62,D,601
63,C,294
64,D,601
65,B,111
66,D,601
67,D,601
68,B,297
69,D,601
70,C,450
71,D,601
72,C,288
73,B,87
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
