,Winner,NTurns
0,C,78
1,B,135
2,C,120
3,C,108
4,C,102
5,C,114
6,B,87
7,C,138
8,B,69
9,B,87
10,B,93
11,B,57
12,B,117
13,B,225
14,C,156
15,B,75
16,B,129
17,C,102
18,B,93
19,B,183
20,C,120
21,C,138
22,C,162
23,B,111
24,B,81
25,B,105
26,C,144
27,B,123
28,B,81
29,B,459
30,C,108
31,B,315
32,C,84
33,C,450
34,B,75
35,B,87
36,B,147
37,C,126
38,B,117
39,B,81
40,C,66
41,C,84
42,C,186
43,B,81
44,B,333
45,C,162
46,B,237
47,B,141
48,B,351
49,B,159
50,C,168
51,C,84
52,B,69
53,B,117
54,D,601
55,B,87
56,B,297
57,B,93
58,B,171
59,B,153
60,C,384
61,B,177
62,B,123
63,D,601
64,B,69
65,C,96
66,B,81
67,B,213
68,C,84
69,B,75
70,B,81
71,C,114
72,C,108
73,B,69
74,C,588
75,B,399
76,B,237
77,B,243
78,B,81
79,B,255
