,Winner,NTurns
0,C,234
1,B,261
2,B,81
3,C,78
4,B,81
5,C,102
6,B,159
7,B,123
8,B,339
9,B,105
10,C,72
11,C,66
12,B,51
13,B,105
14,B,51
15,D,601
16,D,601
17,B,81
18,B,93
19,B,111
20,B,93
21,D,601
22,C,60
23,C,72
24,C,60
25,C,60
26,B,393
27,B,75
28,C,330
29,B,231
30,D,601
31,B,87
32,B,165
33,D,601
34,B,189
35,C,54
36,B,207
37,B,147
38,B,147
39,B,123
40,B,231
41,B,63
42,B,159
43,C,48
44,B,99
45,C,408
46,B,129
47,D,601
48,B,123
49,D,601
50,D,601
51,D,601
52,D,601
53,C,114
54,B,87
55,B,117
56,B,81
57,D,601
58,B,93
59,B,423
60,B,297
61,B,81
62,D,601
63,B,51
64,C,72
65,D,601
66,D,601
67,D,601
68,B,165
69,D,601
70,B,99
71,B,495
72,B,39
73,B,75
74,D,601
75,C,330
76,D,601
77,B,483
78,C,324
79,D,601
