,Winner,NTurns
0,B,87
1,B,75
2,B,69
3,D,601
4,B,117
5,B,165
6,B,99
7,B,135
8,B,39
9,B,87
10,B,63
11,D,601
12,B,69
13,C,150
14,B,45
15,B,57
16,B,51
17,B,81
18,B,117
19,B,81
20,B,57
21,D,601
22,D,601
23,B,123
24,B,111
25,B,57
26,B,135
27,B,51
28,B,27
29,B,81
30,B,63
31,D,601
32,B,93
33,B,51
34,B,117
35,C,492
36,B,87
37,B,69
38,B,81
39,B,63
40,B,57
41,B,135
42,B,321
43,B,93
44,B,93
45,C,252
46,B,129
47,B,75
48,D,601
49,B,75
50,B,87
51,D,601
52,B,105
53,B,99
54,C,534
55,B,69
56,C,90
57,C,228
58,B,75
59,B,105
60,D,601
61,B,99
62,B,243
63,B,57
64,B,75
65,C,174
66,B,99
67,B,57
68,B,51
69,D,601
70,C,126
71,B,357
72,C,144
73,B,207
74,B,69
75,B,123
76,C,576
77,B,129
78,B,99
79,D,601
