,Winner,NTurns
0,C,144
1,B,69
2,C,102
3,B,93
4,D,601
5,D,601
6,B,129
7,C,48
8,B,111
9,B,129
10,B,81
11,B,93
12,B,183
13,C,150
14,C,186
15,D,601
16,D,601
17,D,601
18,B,81
19,B,87
20,B,69
21,B,135
22,B,81
23,D,601
24,C,78
25,B,87
26,D,601
27,B,111
28,C,576
29,D,601
30,C,60
31,D,601
32,B,483
33,D,601
34,C,60
35,B,117
36,B,141
37,D,601
38,B,75
39,D,601
40,B,69
41,B,201
42,D,601
43,D,601
44,B,93
45,D,601
46,D,601
47,D,601
48,B,135
49,C,426
50,D,601
51,B,411
52,C,162
53,D,601
54,B,555
55,C,180
56,D,601
57,B,123
58,D,601
59,D,601
60,D,601
61,D,601
62,B,57
63,B,75
64,D,601
65,D,601
66,B,159
67,B,81
68,D,601
69,D,601
70,D,601
71,D,601
72,B,99
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,B,123
79,D,601
