,Winner,NTurns
0,C,60
1,C,102
2,B,147
3,B,99
4,C,252
5,B,135
6,C,222
7,C,126
8,B,87
9,B,105
10,B,87
11,C,186
12,B,81
13,B,207
14,C,108
15,B,231
16,C,144
17,B,105
18,B,159
19,C,204
20,B,69
21,C,156
22,B,441
23,C,108
24,B,147
25,C,108
26,B,159
27,C,90
28,C,162
29,C,162
30,B,177
31,B,207
32,B,141
33,C,198
34,C,180
35,B,171
36,B,273
37,C,96
38,B,141
39,B,87
40,C,120
41,C,180
42,B,285
43,C,132
44,B,111
45,B,111
46,C,150
47,C,258
48,B,213
49,B,87
50,C,72
51,C,114
52,C,120
53,C,150
54,D,601
55,B,69
56,B,165
57,B,99
58,B,111
59,B,105
60,C,108
61,C,126
62,C,138
63,D,601
64,B,165
65,B,225
66,C,126
67,B,129
68,B,177
69,C,180
70,B,147
71,C,126
72,B,213
73,C,78
74,C,138
75,C,102
76,B,297
77,B,81
78,C,84
79,B,585
