,Winner,NTurns
0,C,114
1,B,159
2,B,123
3,B,63
4,B,129
5,B,69
6,B,123
7,B,81
8,B,57
9,B,135
10,B,135
11,B,141
12,B,99
13,B,75
14,C,150
15,B,189
16,C,96
17,B,99
18,B,81
19,B,87
20,B,81
21,B,225
22,B,105
23,C,84
24,B,249
25,B,111
26,B,75
27,C,102
28,B,99
29,B,99
30,B,87
31,B,213
32,C,138
33,C,186
34,B,159
35,B,153
36,B,81
37,B,99
38,B,93
39,C,174
40,B,87
41,B,279
42,B,105
43,B,135
44,B,87
45,B,183
46,B,87
47,B,201
48,B,81
49,B,213
50,B,225
51,B,105
52,B,141
53,B,87
54,B,147
55,B,93
56,B,81
57,B,189
58,B,117
59,B,195
60,B,339
61,B,75
62,B,69
63,B,129
64,B,93
65,B,69
66,B,75
67,C,336
68,C,108
69,B,117
70,B,369
71,B,87
72,C,108
73,B,153
74,B,87
75,D,601
76,B,81
77,B,99
78,B,177
79,B,159
