,Winner,NTurns
0,B,153
1,C,84
2,B,87
3,B,81
4,B,165
5,B,63
6,B,111
7,B,93
8,B,69
9,B,87
10,B,93
11,B,141
12,B,69
13,B,69
14,C,432
15,B,69
16,C,150
17,B,123
18,C,114
19,B,69
20,B,141
21,B,105
22,B,135
23,B,105
24,B,69
25,B,117
26,B,87
27,B,75
28,B,249
29,B,315
30,C,90
31,C,312
32,B,87
33,B,75
34,B,93
35,B,135
36,B,147
37,D,601
38,B,111
39,B,63
40,C,96
41,B,147
42,B,141
43,B,111
44,B,63
45,B,363
46,B,111
47,C,540
48,D,601
49,B,81
50,C,120
51,D,601
52,B,195
53,B,69
54,B,81
55,B,87
56,C,378
57,B,81
58,D,601
59,B,105
60,B,141
61,B,339
62,B,171
63,C,174
64,B,147
65,B,159
66,B,87
67,B,105
68,B,519
69,B,111
70,D,601
71,B,57
72,C,120
73,B,201
74,D,601
75,C,90
76,D,601
77,B,153
78,B,99
79,B,69
