,Winner,NTurns
0,B,75
1,B,81
2,B,93
3,B,135
4,B,57
5,B,129
6,B,117
7,B,75
8,B,129
9,B,69
10,B,117
11,B,69
12,B,75
13,D,601
14,B,99
15,B,69
16,B,69
17,B,69
18,B,147
19,B,177
20,D,601
21,B,99
22,D,601
23,B,99
24,B,57
25,B,63
26,B,45
27,B,117
28,B,75
29,B,57
30,B,81
31,B,81
32,D,601
33,B,117
34,B,171
35,B,75
36,B,75
37,B,63
38,B,111
39,B,69
40,B,57
41,D,601
42,B,105
43,B,435
44,B,75
45,B,51
46,B,63
47,B,81
48,B,117
49,D,601
50,B,459
51,D,601
52,B,105
53,B,147
54,B,105
55,D,601
56,B,69
57,B,63
58,D,601
59,D,601
60,B,141
61,B,129
62,B,393
63,B,57
64,B,57
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,B,81
71,D,601
72,D,601
73,D,601
74,B,69
75,B,213
76,B,81
77,B,117
78,D,601
79,D,601
