,Winner,NTurns
0,B,105
1,B,105
2,B,105
3,B,87
4,B,69
5,B,111
6,B,105
7,D,601
8,B,207
9,B,69
10,B,87
11,B,75
12,B,339
13,B,75
14,B,273
15,B,147
16,B,57
17,C,258
18,B,81
19,B,75
20,B,99
21,B,201
22,B,99
23,B,117
24,B,87
25,B,93
26,B,249
27,D,601
28,B,87
29,B,63
30,B,57
31,C,120
32,C,306
33,B,117
34,B,45
35,B,159
36,B,75
37,B,87
38,B,93
39,D,601
40,B,387
41,B,75
42,B,51
43,D,601
44,B,69
45,B,87
46,B,63
47,D,601
48,B,69
49,B,93
50,B,99
51,D,601
52,D,601
53,B,27
54,C,132
55,B,75
56,B,147
57,B,69
58,D,601
59,B,135
60,B,69
61,B,243
62,B,429
63,B,27
64,B,105
65,C,576
66,B,471
67,D,601
68,B,75
69,B,75
70,B,87
71,D,601
72,C,198
73,D,601
74,D,601
75,B,129
76,B,69
77,B,87
78,D,601
79,B,69
