,Winner,NTurns
0,B,57
1,B,81
2,B,117
3,C,144
4,B,69
5,C,78
6,B,57
7,B,153
8,C,78
9,B,75
10,B,129
11,B,69
12,B,75
13,B,93
14,B,57
15,B,147
16,C,144
17,B,81
18,B,147
19,B,291
20,D,601
21,B,75
22,B,279
23,B,63
24,B,99
25,B,75
26,C,132
27,B,63
28,B,99
29,B,87
30,B,93
31,B,87
32,B,87
33,B,99
34,B,93
35,B,93
36,B,213
37,B,93
38,C,588
39,B,69
40,B,87
41,B,75
42,B,69
43,B,141
44,B,147
45,B,129
46,B,75
47,C,198
48,B,99
49,B,195
50,B,147
51,B,117
52,C,96
53,B,75
54,C,198
55,B,153
56,B,129
57,B,165
58,B,57
59,B,171
60,B,87
61,B,69
62,B,63
63,B,225
64,B,141
65,C,162
66,C,150
67,B,117
68,B,231
69,B,105
70,B,93
71,B,69
72,C,384
73,B,183
74,B,69
75,B,69
76,B,117
77,B,123
78,B,75
79,B,159
