,Winner,NTurns
0,B,81
1,C,156
2,B,105
3,B,57
4,C,96
5,B,93
6,B,75
7,B,117
8,B,399
9,B,129
10,B,99
11,B,39
12,B,57
13,C,54
14,B,51
15,B,57
16,C,66
17,B,75
18,B,105
19,C,444
20,C,264
21,B,117
22,B,141
23,B,105
24,C,78
25,B,165
26,C,90
27,B,123
28,C,72
29,C,66
30,B,69
31,B,57
32,B,63
33,B,507
34,C,72
35,B,69
36,C,102
37,B,75
38,C,150
39,C,78
40,B,87
41,B,87
42,B,69
43,D,601
44,B,213
45,C,90
46,B,51
47,B,63
48,B,381
49,B,69
50,B,165
51,B,111
52,D,601
53,B,63
54,C,108
55,B,75
56,B,159
57,B,123
58,B,171
59,B,57
60,D,601
61,B,75
62,B,57
63,B,105
64,C,252
65,C,102
66,B,123
67,B,57
68,B,231
69,B,207
70,B,87
71,D,601
72,C,462
73,B,57
74,B,117
75,B,99
76,B,225
77,C,450
78,B,63
79,B,117
