,Winner,NTurns
0,B,99
1,B,69
2,B,141
3,B,45
4,C,600
5,C,138
6,B,159
7,B,99
8,B,39
9,B,57
10,B,123
11,B,69
12,B,75
13,B,63
14,B,87
15,B,81
16,C,90
17,C,528
18,B,201
19,B,63
20,D,601
21,C,324
22,B,57
23,B,177
24,B,129
25,B,45
26,B,87
27,B,81
28,B,105
29,B,51
30,C,282
31,C,84
32,B,111
33,B,57
34,B,57
35,B,117
36,B,231
37,B,63
38,B,357
39,C,348
40,B,51
41,B,87
42,C,426
43,B,75
44,C,156
45,B,51
46,D,601
47,B,75
48,B,141
49,C,330
50,C,354
51,B,87
52,C,72
53,D,601
54,C,150
55,C,72
56,B,177
57,C,60
58,D,601
59,B,135
60,D,601
61,B,63
62,B,57
63,B,57
64,D,601
65,D,601
66,B,87
67,B,231
68,B,51
69,B,69
70,B,177
71,C,378
72,D,601
73,D,601
74,D,601
75,D,601
76,B,69
77,B,69
78,B,51
79,B,153
