,Winner,NTurns
0,B,51
1,B,39
2,B,57
3,B,63
4,B,57
5,B,357
6,B,63
7,B,51
8,C,204
9,B,45
10,B,45
11,B,63
12,B,45
13,B,195
14,B,51
15,C,174
16,B,99
17,B,39
18,B,93
19,C,264
20,B,135
21,D,601
22,B,87
23,B,171
24,B,75
25,B,45
26,B,45
27,B,39
28,B,123
29,B,117
30,B,111
31,B,51
32,B,87
33,D,601
34,C,468
35,B,69
36,B,39
37,B,39
38,B,237
39,B,93
40,B,279
41,B,57
42,B,123
43,B,543
44,B,51
45,B,51
46,D,601
47,B,99
48,B,57
49,B,81
50,D,601
51,C,408
52,D,601
53,B,39
54,B,69
55,B,105
56,B,45
57,B,63
58,B,51
59,B,69
60,B,63
61,B,75
62,D,601
63,B,45
64,B,129
65,C,240
66,B,99
67,B,51
68,B,69
69,D,601
70,B,39
71,D,601
72,B,87
73,B,51
74,D,601
75,B,423
76,B,81
77,B,57
78,C,330
79,B,99
