,Winner,NTurns
0,D,601
1,B,93
2,B,27
3,B,63
4,D,601
5,D,601
6,D,601
7,D,601
8,D,601
9,D,601
10,D,601
11,D,601
12,B,219
13,C,114
14,B,39
15,B,111
16,D,601
17,D,601
18,D,601
19,B,81
20,D,601
21,B,33
22,D,601
23,B,165
24,B,69
25,D,601
26,D,601
27,D,601
28,B,87
29,D,601
30,D,601
31,D,601
32,B,561
33,B,51
34,D,601
35,D,601
36,B,81
37,D,601
38,D,601
39,D,601
40,D,601
41,B,81
42,D,601
43,D,601
44,B,159
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,B,27
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,B,75
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,B,57
