,Winner,NTurns
0,B,105
1,B,63
2,B,111
3,C,42
4,C,60
5,B,57
6,C,348
7,B,75
8,B,99
9,B,57
10,B,57
11,C,84
12,C,60
13,C,78
14,D,601
15,C,48
16,B,117
17,C,48
18,B,99
19,B,51
20,C,132
21,B,57
22,B,81
23,C,66
24,B,129
25,D,601
26,C,72
27,B,57
28,B,165
29,B,51
30,B,75
31,C,282
32,B,69
33,B,129
34,B,81
35,B,111
36,C,366
37,C,264
38,B,51
39,C,66
40,B,75
41,D,601
42,B,123
43,B,57
44,B,75
45,C,78
46,C,78
47,C,162
48,B,75
49,C,150
50,C,102
51,D,601
52,B,87
53,C,162
54,D,601
55,C,84
56,B,81
57,B,309
58,B,243
59,C,60
60,B,207
61,B,99
62,C,66
63,B,99
64,D,601
65,B,99
66,D,601
67,C,132
68,B,81
69,C,330
70,B,57
71,B,63
72,B,105
73,D,601
74,C,72
75,B,111
76,B,63
77,D,601
78,B,69
79,C,252
