,Winner,NTurns
0,C,72
1,C,90
2,C,186
3,C,66
4,C,168
5,C,84
6,C,138
7,B,261
8,C,78
9,C,72
10,B,141
11,B,117
12,C,180
13,C,156
14,C,480
15,C,96
16,B,393
17,C,144
18,C,78
19,C,126
20,C,72
21,C,78
22,C,78
23,B,129
24,B,117
25,C,138
26,D,601
27,B,537
28,C,126
29,C,138
30,C,120
31,B,177
32,C,168
33,B,561
34,C,66
35,B,393
36,B,129
37,B,69
38,D,601
39,C,84
40,C,108
41,C,192
42,C,102
43,C,102
44,C,144
45,C,84
46,B,267
47,D,601
48,C,78
49,D,601
50,B,81
51,B,171
52,D,601
53,B,327
54,B,135
55,C,144
56,C,84
57,C,96
58,D,601
59,C,78
60,B,441
61,B,159
62,C,84
63,C,78
64,C,108
65,B,327
66,C,78
67,C,582
68,C,90
69,B,447
70,B,321
71,D,601
72,C,72
73,C,156
74,C,78
75,B,489
76,C,192
77,B,507
78,C,66
79,C,426
