,Winner,NTurns
0,B,99
1,C,54
2,D,601
3,C,168
4,C,384
5,B,87
6,B,219
7,C,366
8,B,51
9,B,291
10,D,601
11,B,153
12,C,486
13,D,601
14,C,300
15,D,601
16,B,57
17,C,84
18,B,105
19,B,57
20,C,492
21,D,601
22,B,63
23,C,324
24,B,201
25,B,57
26,B,57
27,D,601
28,D,601
29,B,51
30,C,348
31,B,459
32,B,411
33,B,117
34,C,78
35,B,219
36,B,129
37,D,601
38,B,111
39,C,510
40,D,601
41,B,57
42,B,483
43,C,444
44,C,210
45,B,339
46,C,78
47,D,601
48,C,258
49,B,117
50,D,601
51,D,601
52,D,601
53,B,513
54,D,601
55,D,601
56,B,81
57,B,159
58,B,81
59,D,601
60,B,429
61,D,601
62,D,601
63,C,540
64,D,601
65,B,225
66,D,601
67,B,111
68,B,87
69,D,601
70,D,601
71,C,426
72,D,601
73,C,114
74,D,601
75,C,84
76,B,153
77,D,601
78,D,601
79,D,601
