,Winner,NTurns
0,B,99
1,B,63
2,B,81
3,C,408
4,D,601
5,B,39
6,B,57
7,B,111
8,D,601
9,D,601
10,C,366
11,D,601
12,B,441
13,D,601
14,B,279
15,B,39
16,B,39
17,B,63
18,B,75
19,B,183
20,D,601
21,B,231
22,B,51
23,D,601
24,D,601
25,B,57
26,D,601
27,D,601
28,B,63
29,B,123
30,D,601
31,B,57
32,B,81
33,C,444
34,D,601
35,B,51
36,B,315
37,B,57
38,B,63
39,D,601
40,D,601
41,B,207
42,B,45
43,D,601
44,B,63
45,D,601
46,C,258
47,B,105
48,D,601
49,B,87
50,B,75
51,B,339
52,C,546
53,B,63
54,D,601
55,D,601
56,B,45
57,D,601
58,D,601
59,D,601
60,B,69
61,D,601
62,D,601
63,B,105
64,D,601
65,C,594
66,D,601
67,B,135
68,B,57
69,B,99
70,C,426
71,D,601
72,B,147
73,B,309
74,B,39
75,B,507
76,B,87
77,D,601
78,D,601
79,B,57
