,Winner,NTurns
0,C,60
1,D,601
2,B,231
3,B,69
4,B,63
5,B,69
6,C,150
7,B,189
8,B,69
9,C,96
10,C,282
11,B,105
12,C,60
13,B,105
14,C,54
15,D,601
16,B,219
17,C,84
18,C,84
19,B,63
20,B,495
21,C,66
22,B,75
23,C,72
24,B,63
25,B,69
26,B,255
27,C,582
28,C,498
29,C,78
30,D,601
31,B,51
32,B,63
33,B,51
34,B,129
35,C,84
36,B,465
37,D,601
38,B,57
39,D,601
40,D,601
41,B,363
42,D,601
43,B,213
44,C,216
45,C,210
46,D,601
47,C,306
48,C,90
49,B,81
50,D,601
51,C,414
52,B,285
53,B,153
54,C,414
55,B,597
56,B,57
57,B,63
58,C,84
59,C,486
60,B,87
61,D,601
62,B,411
63,B,177
64,D,601
65,D,601
66,C,120
67,C,516
68,B,405
69,B,195
70,B,69
71,D,601
72,D,601
73,D,601
74,C,600
75,C,570
76,B,75
77,B,57
78,C,546
79,B,81
