,Winner,NTurns
0,C,66
1,D,601
2,C,168
3,B,45
4,D,601
5,B,93
6,C,96
7,B,87
8,C,42
9,C,228
10,D,601
11,C,54
12,B,87
13,C,522
14,C,108
15,B,129
16,B,81
17,C,282
18,B,87
19,B,147
20,C,54
21,C,60
22,C,210
23,D,601
24,D,601
25,C,90
26,C,84
27,C,114
28,B,69
29,C,66
30,C,138
31,B,69
32,C,252
33,C,48
34,C,276
35,B,45
36,D,601
37,C,192
38,B,219
39,D,601
40,C,252
41,C,72
42,D,601
43,B,165
44,B,57
45,C,54
46,D,601
47,C,114
48,C,240
49,C,312
50,B,99
51,B,405
52,D,601
53,C,48
54,C,360
55,D,601
56,C,60
57,C,60
58,D,601
59,B,93
60,C,48
61,B,81
62,D,601
63,C,54
64,D,601
65,C,294
66,D,601
67,B,51
68,B,153
69,C,444
70,C,246
71,B,159
72,D,601
73,D,601
74,B,255
75,C,282
76,C,84
77,C,228
78,C,588
79,C,456
