,Winner,NTurns
0,B,303
1,B,75
2,D,601
3,D,601
4,D,601
5,B,141
6,D,601
7,C,168
8,B,87
9,D,601
10,D,601
11,B,75
12,C,360
13,D,601
14,C,84
15,C,396
16,C,450
17,C,204
18,B,69
19,B,99
20,B,159
21,D,601
22,C,288
23,D,601
24,C,48
25,C,96
26,B,435
27,C,66
28,B,117
29,B,363
30,C,234
31,C,114
32,C,72
33,C,504
34,D,601
35,D,601
36,B,261
37,C,66
38,D,601
39,C,198
40,C,366
41,B,69
42,B,63
43,C,252
44,B,75
45,C,246
46,B,147
47,D,601
48,D,601
49,B,129
50,B,123
51,B,177
52,B,63
53,D,601
54,C,96
55,D,601
56,B,99
57,B,129
58,C,318
59,D,601
60,D,601
61,B,69
62,D,601
63,D,601
64,C,444
65,D,601
66,C,114
67,C,72
68,C,486
69,B,93
70,D,601
71,D,601
72,B,117
73,D,601
74,C,120
75,D,601
76,C,204
77,B,255
78,D,601
79,C,84
