,Winner,NTurns
0,C,102
1,D,601
2,C,372
3,B,345
4,B,69
5,B,51
6,B,147
7,C,168
8,C,360
9,B,45
10,B,165
11,B,117
12,D,601
13,D,601
14,D,601
15,B,117
16,D,601
17,D,601
18,C,60
19,B,75
20,D,601
21,D,601
22,C,108
23,D,601
24,B,93
25,C,144
26,D,601
27,B,87
28,C,120
29,B,81
30,C,246
31,B,93
32,D,601
33,B,255
34,C,444
35,B,99
36,C,126
37,D,601
38,C,150
39,C,120
40,D,601
41,C,264
42,B,87
43,B,81
44,D,601
45,B,123
46,C,132
47,D,601
48,B,45
49,B,387
50,D,601
51,D,601
52,D,601
53,B,189
54,D,601
55,C,594
56,C,138
57,C,114
58,B,45
59,B,147
60,B,69
61,D,601
62,D,601
63,D,601
64,B,123
65,B,291
66,D,601
67,B,75
68,D,601
69,B,63
70,B,51
71,D,601
72,B,63
73,D,601
74,D,601
75,D,601
76,B,69
77,D,601
78,D,601
79,C,90
