,Winner,NTurns
0,B,63
1,B,75
2,D,601
3,C,66
4,C,48
5,C,120
6,C,216
7,C,84
8,C,72
9,B,57
10,C,552
11,B,81
12,C,78
13,D,601
14,B,51
15,B,75
16,B,117
17,C,48
18,B,171
19,B,75
20,C,66
21,C,54
22,C,60
23,B,105
24,D,601
25,C,174
26,D,601
27,B,357
28,C,216
29,C,60
30,C,126
31,C,78
32,C,60
33,C,108
34,D,601
35,D,601
36,B,363
37,B,63
38,C,126
39,C,450
40,D,601
41,D,601
42,C,60
43,B,93
44,B,363
45,D,601
46,B,57
47,B,207
48,D,601
49,D,601
50,B,585
51,D,601
52,C,84
53,B,63
54,C,60
55,B,171
56,B,81
57,D,601
58,C,84
59,C,468
60,C,102
61,B,339
62,C,258
63,B,225
64,C,546
65,D,601
66,C,78
67,D,601
68,C,282
69,D,601
70,C,42
71,D,601
72,C,492
73,D,601
74,D,601
75,C,342
76,D,601
77,C,312
78,C,426
79,D,601
