,Winner,NTurns
0,C,78
1,C,114
2,C,72
3,C,96
4,C,108
5,C,78
6,C,198
7,C,126
8,C,126
9,C,84
10,C,84
11,C,240
12,C,150
13,C,78
14,C,114
15,C,174
16,D,601
17,C,174
18,C,180
19,C,72
20,B,135
21,D,601
22,C,72
23,C,228
24,C,114
25,C,78
26,C,96
27,C,96
28,C,96
29,C,246
30,C,240
31,C,66
32,C,90
33,C,90
34,C,444
35,D,601
36,C,102
37,C,150
38,C,102
39,C,96
40,C,114
41,C,72
42,D,601
43,C,336
44,C,96
45,C,72
46,C,144
47,C,78
48,C,120
49,C,282
50,C,108
51,D,601
52,C,210
53,C,96
54,D,601
55,C,102
56,C,66
57,C,60
58,D,601
59,C,114
60,C,186
61,D,601
62,C,90
63,C,294
64,C,120
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,C,162
73,C,108
74,C,66
75,D,601
76,D,601
77,C,168
78,C,72
79,C,426
