,Winner,NTurns
0,C,42
1,D,601
2,C,282
3,D,601
4,B,99
5,C,402
6,C,96
7,B,135
8,C,150
9,C,108
10,D,601
11,C,108
12,B,93
13,B,225
14,B,51
15,B,177
16,D,601
17,C,258
18,C,204
19,D,601
20,D,601
21,B,51
22,C,108
23,C,96
24,C,144
25,D,601
26,D,601
27,D,601
28,D,601
29,B,57
30,D,601
31,D,601
32,C,126
33,C,96
34,C,72
35,D,601
36,D,601
37,C,162
38,D,601
39,C,84
40,C,246
41,B,57
42,B,57
43,D,601
44,B,87
45,C,198
46,B,63
47,B,333
48,D,601
49,B,81
50,D,601
51,B,75
52,D,601
53,C,66
54,B,207
55,D,601
56,D,601
57,D,601
58,C,294
59,C,60
60,D,601
61,B,147
62,B,201
63,B,105
64,B,51
65,C,378
66,D,601
67,D,601
68,B,75
69,C,186
70,D,601
71,C,162
72,C,354
73,D,601
74,C,60
75,B,75
76,D,601
77,D,601
78,B,141
79,D,601
