,Winner,NTurns
0,B,105
1,B,87
2,D,601
3,C,138
4,B,141
5,B,75
6,B,87
7,B,135
8,D,601
9,D,601
10,B,75
11,B,93
12,D,601
13,B,45
14,D,601
15,D,601
16,C,78
17,B,51
18,B,63
19,D,601
20,D,601
21,B,159
22,D,601
23,C,462
24,B,249
25,D,601
26,C,102
27,B,63
28,B,99
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,B,51
35,B,75
36,C,150
37,B,57
38,D,601
39,D,601
40,D,601
41,B,51
42,D,601
43,B,75
44,D,601
45,D,601
46,B,81
47,B,69
48,D,601
49,D,601
50,B,81
51,C,282
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,B,39
59,B,117
60,D,601
61,D,601
62,B,57
63,B,63
64,D,601
65,C,102
66,D,601
67,D,601
68,C,354
69,D,601
70,D,601
71,C,54
72,D,601
73,D,601
74,D,601
75,D,601
76,B,51
77,D,601
78,B,75
79,D,601
