,Winner,NTurns
0,B,99
1,B,231
2,C,270
3,B,63
4,C,354
5,B,555
6,B,63
7,B,87
8,B,63
9,D,601
10,D,601
11,D,601
12,B,237
13,B,189
14,C,114
15,B,63
16,C,90
17,C,192
18,D,601
19,B,99
20,B,51
21,D,601
22,B,57
23,C,54
24,D,601
25,C,312
26,D,601
27,D,601
28,D,601
29,D,601
30,B,75
31,D,601
32,D,601
33,B,93
34,D,601
35,D,601
36,C,96
37,D,601
38,C,174
39,D,601
40,D,601
41,D,601
42,B,99
43,B,171
44,C,78
45,C,282
46,D,601
47,D,601
48,C,174
49,D,601
50,D,601
51,B,45
52,B,57
53,D,601
54,C,96
55,B,69
56,D,601
57,B,117
58,D,601
59,D,601
60,D,601
61,D,601
62,C,450
63,C,186
64,C,138
65,D,601
66,D,601
67,B,141
68,D,601
69,B,165
70,B,51
71,D,601
72,C,162
73,D,601
74,B,87
75,C,522
76,C,186
77,D,601
78,D,601
79,B,99
