,Winner,NTurns
0,C,96
1,D,601
2,B,69
3,C,72
4,D,601
5,B,237
6,B,57
7,B,231
8,B,201
9,C,66
10,B,57
11,C,84
12,D,601
13,D,601
14,C,72
15,B,75
16,C,120
17,B,51
18,B,63
19,C,78
20,C,366
21,C,48
22,B,129
23,C,36
24,B,93
25,B,117
26,D,601
27,D,601
28,D,601
29,C,78
30,C,60
31,D,601
32,D,601
33,B,93
34,D,601
35,C,72
36,D,601
37,B,57
38,B,57
39,B,159
40,D,601
41,B,51
42,D,601
43,C,60
44,B,51
45,D,601
46,D,601
47,C,174
48,D,601
49,C,84
50,D,601
51,D,601
52,D,601
53,B,75
54,B,147
55,B,57
56,C,78
57,C,138
58,C,552
59,C,330
60,D,601
61,D,601
62,B,63
63,C,96
64,D,601
65,C,522
66,B,393
67,B,63
68,C,402
69,B,57
70,D,601
71,C,420
72,C,336
73,D,601
74,B,57
75,D,601
76,B,75
77,D,601
78,B,81
79,D,601
