,Winner,NTurns
0,C,78
1,C,78
2,B,69
3,C,72
4,C,126
5,C,90
6,C,66
7,C,72
8,C,120
9,B,213
10,B,171
11,C,168
12,C,54
13,B,135
14,B,93
15,C,216
16,C,138
17,C,144
18,B,69
19,C,78
20,B,105
21,C,156
22,C,102
23,B,129
24,C,144
25,B,63
26,B,201
27,D,601
28,C,90
29,C,60
30,C,120
31,C,150
32,C,96
33,C,126
34,C,108
35,C,246
36,B,75
37,C,162
38,C,84
39,C,72
40,C,84
41,C,120
42,B,141
43,C,120
44,C,126
45,B,177
46,C,120
47,B,129
48,B,159
49,C,456
50,C,78
51,C,258
52,B,87
53,C,108
54,B,225
55,C,132
56,D,601
57,B,183
58,C,90
59,C,96
60,C,96
61,B,261
62,C,138
63,C,72
64,C,102
65,C,132
66,D,601
67,B,105
68,B,165
69,C,78
70,D,601
71,C,90
72,C,108
73,C,198
74,B,141
75,C,270
76,B,57
77,C,138
78,B,69
79,C,192
