,Winner,NTurns
0,B,63
1,B,39
2,B,51
3,B,57
4,B,93
5,C,72
6,C,90
7,C,162
8,B,57
9,B,93
10,B,63
11,C,48
12,B,81
13,C,78
14,B,51
15,B,111
16,C,114
17,B,75
18,B,159
19,B,483
20,B,129
21,B,87
22,B,51
23,C,96
24,B,99
25,B,81
26,B,105
27,C,546
28,C,144
29,B,57
30,C,168
31,B,117
32,C,78
33,D,601
34,C,48
35,C,66
36,B,57
37,B,45
38,B,57
39,C,324
40,B,117
41,B,63
42,D,601
43,B,87
44,B,45
45,B,57
46,C,600
47,B,141
48,C,120
49,C,72
50,C,300
51,D,601
52,B,57
53,B,93
54,B,57
55,B,63
56,B,327
57,B,75
58,C,360
59,B,267
60,B,81
61,C,60
62,C,240
63,B,117
64,D,601
65,B,237
66,D,601
67,C,66
68,B,135
69,B,63
70,C,258
71,B,165
72,B,255
73,B,57
74,C,96
75,C,54
76,B,63
77,B,543
78,C,414
79,C,168
