,Winner,NTurns
0,B,57
1,B,87
2,B,69
3,C,420
4,B,117
5,C,72
6,B,69
7,B,75
8,B,51
9,B,177
10,C,78
11,C,78
12,C,66
13,B,135
14,B,75
15,B,93
16,B,279
17,B,99
18,B,63
19,C,402
20,C,360
21,B,63
22,B,219
23,B,87
24,B,45
25,C,210
26,B,87
27,B,63
28,B,87
29,D,601
30,B,99
31,D,601
32,B,129
33,B,51
34,B,81
35,D,601
36,B,117
37,B,57
38,B,117
39,C,84
40,C,66
41,C,258
42,B,81
43,C,108
44,B,87
45,D,601
46,B,63
47,C,276
48,C,474
49,C,186
50,B,51
51,C,60
52,B,99
53,D,601
54,C,90
55,B,255
56,B,93
57,D,601
58,C,348
59,B,171
60,B,63
61,B,129
62,D,601
63,B,51
64,C,234
65,B,129
66,D,601
67,B,51
68,D,601
69,D,601
70,D,601
71,C,336
72,C,294
73,B,63
74,B,63
75,B,69
76,D,601
77,B,249
78,B,63
79,D,601
