,Winner,NTurns
0,B,99
1,B,93
2,B,69
3,B,159
4,B,33
5,B,93
6,B,69
7,B,57
8,B,57
9,B,51
10,B,63
11,B,87
12,B,33
13,B,33
14,D,601
15,B,45
16,B,45
17,B,63
18,B,57
19,B,63
20,B,33
21,D,601
22,B,39
23,B,75
24,B,69
25,B,63
26,B,51
27,B,75
28,B,75
29,D,601
30,B,51
31,D,601
32,B,69
33,B,51
34,B,63
35,B,51
36,B,99
37,D,601
38,B,45
39,B,57
40,B,51
41,B,45
42,B,111
43,B,111
44,D,601
45,B,141
46,B,135
47,D,601
48,B,45
49,B,75
50,B,45
51,D,601
52,D,601
53,B,51
54,D,601
55,B,45
56,D,601
57,B,69
58,C,174
59,B,63
60,B,45
61,B,69
62,B,39
63,D,601
64,B,93
65,D,601
66,B,129
67,B,51
68,B,63
69,C,504
70,D,601
71,B,63
72,D,601
73,D,601
74,B,51
75,C,150
76,B,45
77,B,63
78,B,39
79,B,99
