,Winner,NTurns
0,D,601
1,D,601
2,B,57
3,B,63
4,D,601
5,D,601
6,B,75
7,C,126
8,B,51
9,D,601
10,D,601
11,D,601
12,B,63
13,C,120
14,C,384
15,B,27
16,D,601
17,B,27
18,B,57
19,D,601
20,D,601
21,C,144
22,D,601
23,D,601
24,C,264
25,B,27
26,B,51
27,D,601
28,D,601
29,B,51
30,B,105
31,D,601
32,D,601
33,D,601
34,B,51
35,D,601
36,D,601
37,D,601
38,B,33
39,D,601
40,D,601
41,D,601
42,D,601
43,B,75
44,D,601
45,D,601
46,B,81
47,B,51
48,D,601
49,D,601
50,D,601
51,B,63
52,B,75
53,B,465
54,D,601
55,B,69
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,B,363
62,D,601
63,B,93
64,D,601
65,B,87
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
