,Winner,NTurns
0,B,213
1,B,129
2,B,51
3,B,75
4,B,57
5,B,171
6,B,51
7,C,84
8,B,51
9,B,111
10,B,315
11,B,75
12,B,141
13,C,378
14,B,195
15,B,57
16,B,45
17,B,75
18,C,138
19,C,66
20,D,601
21,B,63
22,B,195
23,B,45
24,B,105
25,B,75
26,C,126
27,C,204
28,C,294
29,B,51
30,B,117
31,B,93
32,B,57
33,B,99
34,D,601
35,C,72
36,B,273
37,B,99
38,B,123
39,C,72
40,B,69
41,D,601
42,C,96
43,C,54
44,B,81
45,B,81
46,B,69
47,B,249
48,B,57
49,D,601
50,C,102
51,D,601
52,C,168
53,B,93
54,B,87
55,B,57
56,B,123
57,D,601
58,C,90
59,C,570
60,B,87
61,D,601
62,B,111
63,D,601
64,B,585
65,B,75
66,B,39
67,B,57
68,B,93
69,C,288
70,B,63
71,C,372
72,C,204
73,C,78
74,D,601
75,D,601
76,B,75
77,D,601
78,C,114
79,D,601
